,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
5277,5278,Steven Tyler: Out on a Limb,2018,,6.3,41,Documentary,0,1
6723,6724,Brewmaster,2018,,6.3,34,Documentary,0,1
9674,9675,The Big Take,2018,,6.3,44,Comedy,0,1
9697,9698,Keep the Change,2018,,6.3,64,Comedy,0,1
10083,10084,The Good Die Young,2018,,6.3,31,Crime,0,1
11759,11760,The Beaumonts,2018,,6.3,37,Horror,0,1
12484,12485,The Apparition,2018,,6.3,58,Drama,0,1
13004,13005,Poured in Pennsylvania,2018,,6.3,29,Documentary,0,1
9712,9713,Meri Pyaari Bindu,2017,7+,5.9,58,Comedy,0,1
16648,16649,Unli Life,2018,,6.3,42,Comedy,0,1
22390,22391,Speech & Debate,2017,13+,5.9,54,Comedy,1,0
19252,19253,The Beaumonts,2018,,6.3,37,Comedy,0,1
5166,5167,Wiener-Dog,2016,18+,5.9,62,Comedy,0,1
20689,20690,Pokémon the Movie: The Power of Us,2018,all,6.3,64,Anime,1,0
20738,20739,I Am Not an Easy Man,2018,,6.3,57,Comedy,1,0
17392,17393,The Remake,2016,13+,5.9,31,Comedy,0,1
21485,21486,3 Generations,2016,13+,5.9,57,Comedy,1,0
20782,20783,The Outsider,2018,,6.3,62,Crime,1,0
21494,21495,True Memoirs of an International Assassin,2016,16+,5.9,55,Comedy,1,0
21016,21017,Catwalk: Tales from the Catshow Circuit,2018,,6.3,47,Documentary,1,0
22395,22396,Kevin Hart: What Now?,2016,18+,5.9,67,Comedy,1,0
24375,24376,25 Kille,2016,7+,5.9,37,Comedy,1,0
22360,22361,Pokémon the Movie: The Power of Us,2018,all,6.3,64,Action,1,0
11319,11320,A Short History of Decay,2014,18+,5.9,53,Comedy,0,1
22438,22439,The Outsider,2018,,6.3,62,Drama,1,0
12157,12158,Bloody Knuckles,2014,13+,5.9,35,Comedy,0,1
12995,12996,Chu and Blossom,2014,16+,5.9,35,Comedy,0,1
19056,19057,The M Word,2014,18+,5.9,35,Comedy,0,1
22786,22787,Gun City,2018,,6.3,41,Action,1,0
23945,23946,Fernando Sanjiao: Hombre,2018,,6.3,36,Comedy,1,0
24409,24410,Music Teacher,2018,,6.3,39,Drama,1,0
1314,1315,Outrage Coda,2017,,6.3,60,Crime,0,1
23260,23261,Swearnet: The Movie,2014,18+,5.9,53,Comedy,1,0
1744,1745,Shock Wave,2017,,6.3,68,Action,0,1
2667,2668,The Mothman of Point Pleasant,2017,,6.3,44,Horror,0,1
5170,5171,Lost in Paris,2017,,6.3,65,Comedy,0,1
6130,6131,Crazy Kind of Love,2013,18+,5.9,44,Comedy,0,1
5188,5189,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,2012,18+,5.9,53,Comedy,0,1
7661,7662,Time Trial,2017,,6.3,40,Documentary,0,1
8107,8108,Outrage Coda,2017,,6.3,60,Drama,0,1
8291,8292,Outrage Coda,2017,,6.3,60,Action,0,1
11922,11923,Natural Life,2014,,nan,na,Crime,0,1
17107,17108,Rita Rudner and 3 Potential Ex-Husbands,2012,18+,5.9,31,Comedy,0,1
18960,18961,Willie Barcena: I Gotta Be Honest,2012,18+,5.9,33,Comedy,0,1
21133,21134,A Thousand Words,2012,13+,5.9,57,Comedy,1,0
10782,10783,Of Sheep and Men,2017,,6.3,34,Documentary,0,1
11927,11928,Kafou,2017,,6.3,40,Crime,0,1
6594,6595,Father's Day,2011,18+,5.9,63,Comedy,0,1
13221,13222,The Fifa Family: A Love Story,2017,,6.3,31,Documentary,0,1
13601,13602,Schumann's Bar Talks,2017,,6.3,31,Documentary,0,1
13889,13890,Let the Corpses Tan,2017,,6.3,63,Action,0,1
14314,14315,Anchor and Hope,2017,,6.3,61,Comedy,0,1
14944,14945,The Children Send Their Regards,2017,,6.3,29,Documentary,0,1
15974,15975,The Light of the Moon,2017,,6.3,67,Drama,0,1
17209,17210,Free and Easy,2017,,6.3,51,Comedy,0,1
17615,17616,Ivan Thanthiran,2017,,6.3,42,Action,0,1
17785,17786,Ivan Thanthiran,2017,,6.3,42,Comedy,0,1
18210,18211,Pretty Outrageous,2017,,6.3,41,Comedy,0,1
12196,12197,D-Day: The American Way,2014,,nan,na,Crime,0,1
18397,18398,Anchor and Hope,2017,,6.3,61,Drama,0,1
18959,18960,Kafou,2017,,6.3,40,Comedy,0,1
19167,19168,Ward Anderson: Kind of…Sort of…Grown Up,2017,,6.3,31,Comedy,0,1
19267,19268,Family Life,2017,,6.3,33,Comedy,0,1
19946,19947,Waru,2017,,6.3,44,Drama,0,1
20847,20848,Cargo,2017,,6.3,75,Drama,1,0
20898,20899,Pokémon the Movie: I Choose You!,2017,all,6.3,63,Action,1,0
12455,12456,Coming Back to the Hoop,2014,,nan,na,Documentary,0,1
21193,21194,Expedition China,2017,all,6.3,38,Documentary,1,0
12478,12479,Words Of Art,2014,,nan,na,Documentary,0,1
21398,21399,Out of Thin Air,2017,,6.3,50,Documentary,1,0
21503,21504,The Bar,2017,,6.3,59,Comedy,1,0
21532,21533,Out of Thin Air,2017,,6.3,50,Crime,1,0
21544,21545,A Week in Watts,2017,,6.3,46,Documentary,1,0
21709,21710,The Last Hour,2017,,6.3,36,Crime,1,0
22063,22064,Panoptic,2017,,6.3,35,Documentary,1,0
22106,22107,Cargo,2017,,6.3,75,Action,1,0
22166,22167,Sun Dogs,2017,,6.3,53,Comedy,1,0
22222,22223,Lovesong,2017,,6.3,64,Drama,1,0
22515,22516,Holy Camp!,2017,,6.3,52,Comedy,1,0
22546,22547,Sun Dogs,2017,,6.3,53,Drama,1,0
22697,22698,Sun Dogs,2017,,6.3,53,Action,1,0
22717,22718,Christina P: Mother Inferior,2017,,6.3,42,Comedy,1,0
23238,23239,Sparring,2017,,6.3,41,Action,1,0
23655,23656,Balu Mahi,2017,,6.3,47,Action,1,0
23708,23709,King of Peking,2017,,6.3,40,Comedy,1,0
23756,23757,Sparring,2017,,6.3,41,Drama,1,0
23788,23789,All the Reasons to Forget,2017,,6.3,41,Comedy,1,0
23979,23980,King of Peking,2017,,6.3,40,Drama,1,0
23992,23993,All the Reasons to Forget,2017,,6.3,41,Drama,1,0
24294,24295,The Last Hour,2017,,6.3,36,Drama,1,0
24497,24498,Balu Mahi,2017,,6.3,47,Drama,1,0
421,422,Creepy,2016,,6.3,70,Horror,0,1
2495,2496,Equal Means Equal,2016,,6.3,48,Documentary,0,1
5662,5663,Little Sister,2016,,6.3,66,Comedy,0,1
8134,8135,Little Sister,2016,,6.3,66,Drama,0,1
8776,8777,The First American,2016,,6.3,36,Documentary,0,1
9703,9704,Lazy Eye,2016,,6.3,58,Comedy,0,1
10095,10096,Under the Turban,2016,,6.3,31,Documentary,0,1
10410,10411,Karaoke Crazies,2016,,6.3,36,Crime,0,1
11887,11888,Cameron Esposito: Marriage Material,2016,,6.3,39,Comedy,0,1
12187,12188,Burns Point,2016,,6.3,36,Crime,0,1
13215,13216,The Unrideables 2,2014,,nan,36,Documentary,0,1
13217,13218,The Pristine Coast,2014,,nan,31,Documentary,0,1
13219,13220,Jacques Cousteau's Legacy – Return to the Undersea World,2014,all,nan,35,Documentary,0,1
13222,13223,Wings for Maggie Ray,2014,,nan,na,Documentary,0,1
12451,12452,Botticelli – Inferno,2016,,6.3,37,Documentary,0,1
12550,12551,Till We Meet Again,2016,,6.3,42,Action,0,1
13160,13161,Can I Get a Witness Protection?,2016,,6.3,36,Comedy,0,1
13239,13240,Lazy Eye,2016,,6.3,58,Drama,0,1
7544,7545,I Hate Kids,2019,13+,5.8,56,Comedy,0,1
14664,14665,Underneath the Same Moon,2019,13+,5.8,37,Comedy,0,1
15496,15497,Till We Meet Again,2016,,6.3,42,Drama,0,1
23361,23362,Adam Devine: Best Time of Our Lives,2019,13+,5.8,44,Comedy,1,0
13378,13379,Southern Fried Fencing,2014,,nan,10,Documentary,0,1
10020,10021,Abe & Phil's Last Poker Game,2018,18+,5.8,54,Comedy,0,1
17242,17243,Jacqueline Argentine,2016,,6.3,43,Comedy,0,1
13397,13398,Fire Lines,2014,13+,nan,10,Documentary,0,1
12394,12395,Andover,2018,16+,5.8,52,Comedy,0,1
20599,20600,Jacqueline Argentine,2016,,6.3,43,Drama,0,1
20761,20762,Candy Jar,2018,13+,5.8,64,Comedy,1,0
20980,20981,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,,6.3,51,Crime,1,0
21856,21857,An Evening with Beverly Luff Linn,2018,18+,5.8,60,Comedy,1,0
22158,22159,La tribu,2018,18+,5.8,53,Comedy,1,0
